komentar,label,label_prediksi
ga mw make meski cuman satu web anime mentang takedown semua web anime ilegal yakin mau takedown banyak apa solusi,negatif,negatif
suka episode permeumim,negatif,positif
dasar krisis bahasa ga bahasa indo ajar gak lengkap premium makanya buffer gaktau kasih kritik saran bkn malah hina,positif,negatif
iklan sejagad raya mana lama,negatif,negatif
terlalu banyak iklan,negatif,negatif
keren,positif,positif
pentil,negatif,positif
bintang satu aplikasi animeplay lebih bagus gak premium cuman iklan lalu lengkap sekali masa hellsing ketemu payah banget aplikasi my aplikasi underrated lebih lengkap,negatif,negatif
apl babi mau masuk gk padahal udah betul,positif,negatif
kwonnnnntollllll,negatif,positif
gak buat pk knttmlll,negatif,negatif
terus terang cuy lagi bukan untung lagi komentar ga peduli sama sekali gapapa santai masa film yg gada cuy cuma gimana kalau orang yg ibarat ken nonton film hak kalian oke,positif,negatif
banyak yg beri bintang mungkin benar,positif,negatif
nonton lawas banyak bayar,negatif,negatif
anime cukup lengkap yaa hampir semua premium subtitle suka gajelas,negatif,negatif
banyak yg lebih baik gratis,negatif,negatif
goodjob,positif,positif
aplikasi udah bagus banget cuma nonton iklan nonton anime bagus bagus kurang lengkap anime tunggu update,positif,positif
terlalu banyak iklan,negatif,negatif
aplikasi aneh padahal udah pakai gmail password akun tetap gak masuk,negatif,negatif
very good nantap,positif,positif
buat ngotak banyak padahal sidak kasih imel gak,negatif,negatif
jelek,negatif,negatif
masak dikit dikit vip,negatif,negatif
alam tonton apk anime lengkap semua anime diduruh bayar lag parah duh parah bintang satu dulu tidack patut dowload adick adick,negatif,negatif
terlalu banyak iklan konten banyak premium lebih bagus bson,negatif,negatif
saldo ilang sendiri,negatif,negatif
terlalu banyak iklan,negatif,negatif
ga sub indo,negatif,negatif
bagus banget,positif,positif
aplikasi bagus euy,positif,positif
sukaaaa,positif,positif
bagus banget sumpah,positif,positif
overall,positif,positif
bagus bnget apk,positif,positif
keren,positif,positif
aplikasi bagus anime banyak gratis terlalu banyak iklan,positif,negatif
ga jelas ga bikin akun,negatif,negatif
aneh,negatif,negatif
bayar bulan kalau bayar jadi download aplikasi crunchyroll kalau bayar jadi download aplikasi crunchyroll,positif,negatif
animenya lengkap jelek,negatif,negatif
verry good,positif,positif
best anime app ever think,positif,positif
gaada sub indo mah lancar inggris makanya ajar bahasa inggris wak gaada rugi,positif,positif
aplikasi gak jelas mending kalian gak usah download,negatif,negatif
sex,positif,positif
mah anime bukan manga cari udah langgan anime mirror belah lebih flexibel mudah sulit justru suli ada pantesan banyak bintang,negatif,negatif
gk bsa download gratis,negatif,negatif
apk jelek gak subtitle indonesia,negatif,negatif
moga hibur,positif,positif
ngelag mulu padahal jaring bagus pake wifi banyak iklan,negatif,negatif
bgus,positif,positif
nunggu htf,positif,positif
lumayan,positif,positif
mantap,positif,positif
moga anime donghuanya lengkap sub indo,positif,negatif
aplikasi mantap,positif,positif
apk ga ngotak,negatif,negatif
gabisa login anjg padahal email sama pwnya bener,negatif,negatif
burik sub indo dikit mana premium mahal,negatif,negatif
aplikasi anime yaaa nilai sendiri eps gratis sisa premium,negatif,negatif
apabila kalian guna gratis jangan guna aplikasi iklan banyak minta ampun habis iklan subtitle jeda dulu,negatif,negatif
pepwk,negatif,positif
apk sampah,negatif,negatif
knpa tiba langgan apk yah padahal gk punya apk baru nge download komen pihak,negatif,negatif
entah log in padahal nama email sandi email benar sekarang kasih bintang dulu sangat kecewa,negatif,negatif
ih kekmana ni aplikasi streaming tak betul bstation hampir semua rata rata pake sub indo semua apa sub indo nanggung semua cuih minimal rata nak bikin subtitle rilis ni aplikasi kalo dub indo dah lebih rata jadi keluh kesah aplikasi ni,negatif,negatif
baik,positif,positif
apk sampah banyak iklan satu vidio iklan,negatif,negatif
bagus kadang subtitle indonya sedia beberapa episode meski pake sub english tetep paling nyaman sub indo,positif,positif
udah balik habitat asli,negatif,positif
iklan,negatif,negatif
banyak sub indo,negatif,positif
sangat suka apk,positif,positif
hey developer please make the next patch update add indonesian subtitles thank you,positif,positif
kocak tbate jadi jelek karna saran,negatif,negatif
premium,negatif,negatif
keren,positif,positif
rekomendasi banget didownload,positif,positif
aplikasi keren beda skip intro,positif,positif
teks ga nyambung sama anime tonton sini nonton anime malah pake teks anime,negatif,negatif
bagus aplikasiny mahal langgan na belah bulan sini terus kurang lengkap subtitle indonesia soal inggris ku terlalu baik,negatif,positif
wish there was setting for the anime title to change to japanese romaji,positif,positif
oke jelek anime ku cari ga kata punya juta anime lebih bahkan semua cari ga masuk doraemon,negatif,negatif
baru download apk pas mau nonton pertama kali film mulai iklan xdurasi detik semua gabisa skip film baru jalan kurang menit muncul iklan xdetik semua gabisa skip kapok mending apk belah kalo gin mah,negatif,negatif
payah kira free nonton nyata beli premium apk macam apa sesuai ekspetasi padahal bagus loh dub bayar buat nonton episode hadeh,negatif,negatif
bagus bstasion,negatif,positif
sistem region lock yg ampas mending pake aplikasi streaming anime beli premium percuma tetep region lock,negatif,negatif
baik banget,positif,positif
amazing,positif,positif
aplikasi cacat sinyal parah cacat banget sinyal cacat kek otak buat,negatif,positif
bagus,positif,positif
lumayan,positif,positif
wah sangat asu,positif,negatif
banyak anime yg gak muncul pas search versi web padahal animenya,positif,negatif
banyak prem,negatif,positif
nonton udh suruh beli premium haduh sangat kecewa,negatif,negatif
bayar,negatif,negatif
bgus bngt,positif,positif
ga tau download,negatif,negatif
tipu,negatif,negatif
terlalu banyak premium jaring yg kurang lancar padahal lancar lancar kualitas premium terlalu banyak jadi susah kalo mau nonton sub gk indonesia bhs inggris premium,negatif,negatif
mau nonton doang pake premium,negatif,negatif
nice picture im so exvitited,positif,positif
gajelas kudu premium,negatif,negatif
ga jelas,negatif,negatif
download apk ku kira anime marmalade boy soal kata apk anime marmalade boy tahu gak,negatif,negatif
banyak terjemah bahasa indonesia,positif,negatif
sangat jelek gajelas banget jangan download poko jangan,negatif,negatif
ribet login nonton puas,negatif,negatif
benar pake email anak suka anime lama,positif,negatif
apa ni aplikasi udh premium tinggal minggu pas mau rewatch my dress up darling anime malah gk,negatif,negatif
banyak anime subtitle indonesia,positif,negatif
apk sangat jelek gk usah download,negatif,negatif
apk gj bikin akun salah mulu,negatif,negatif
tak bise masuk la cemana ni,negatif,negatif
ga log in,negatif,negatif
ga jelas jelek,negatif,negatif
tau,positif,positif
tulis bahasa arab semua,negatif,negatif
bagus,positif,positif
lebih baik bstation banding,negatif,positif
keren,positif,positif
developer aplikasi sangat bagus tambah subtitle bahasa indonesia terimakasih,negatif,positif
semua khusus premium apa,negatif,negatif
gajee ni apk masa anime kelas aot gaadaaaaa,negatif,negatif
awal kira aplikasi top buat nonton demon slayer liat cmn sini yg lengkap epsnya jauh nyata season habis bayaaaarrr kalo mau cari untung tu kaga usah kaya gituu kalau season habis udh premium kasih bintang,negatif,positif
babi kalau buat aplikasi jangan banyak bugnya tolol email sama passwordnya udah bener salah bego,negatif,negatif
the best,positif,positif
wow keren,positif,positif
anime semua pake premium gk jelas,negatif,negatif
banyak iklan masa satu titik isi iklan nonton anime gin coba ngamuk sendiri aku,negatif,negatif
apk stream anime tier bawah premium mahal mending baja mah,negatif,negatif
aplikasi jelek udah langgan lebih mahal bstation gak sub indo,negatif,negatif
nonton anime gratis aplikasi anime lain anime gintama lebih eps enggak,negatif,negatif
jangan mau bodohin teman teman aplikasi bayar kalau mau aplikasi gk bar tanyak ama cmiwww,negatif,negatif
crunchyroll aplikasi nonton anime lamah liat apk cuman baru pakai serius kali baru pertama kali nonton anime legal wkwkw udah langgan alam sih yah karna baru pertama kali pakai serius blm dapet kendala apk bagus crunchyroll tambah subtitle bahasa indonesia ngk semua anime subtitle indo kembang terus yah semangat,positif,positif
te kaharti kahaji,negatif,positif
apk dahh udah download videonyaa hapus sendiri aneh,negatif,negatif
gak,negatif,negatif
where is overlord sacred kingdom,negatif,positif
lengkap banyak premium,negatif,negatif
niat jual indonesia gk sih gk semua anime punya sub indo lihat tu bstation gk hampir gk pernah satu adaanime yg gk sub indo,negatif,negatif
animenya gk lengkap masa anime higurashi no naku koro ni gk cih,negatif,negatif
parah aplikasi subtitle indonesia kaga,negatif,negatif
buruk banget ni aplikasi iklan tengah video kali mana satu iklan durasi detik iklan tengah kli kali kali banyak iklan uda jgn download buang buang paket,negatif,negatif
bayar sih,negatif,negatif
apa iklan smpe durasi panjang smngat menganggu nonton maaf bintang dulu,negatif,negatif
jelek,negatif,negatif
overatted,negatif,positif
kagak jelas padahal email emang tolol,negatif,negatif
subtitle indonya aneh,negatif,negatif
sumpah prasaan ngga pernah langgan dah tiba tiba saldo potong,negatif,negatif
banyak iklan apk episode udh iklan,negatif,negatif
like it,positif,positif
aplikasi jelek,negatif,negatif
bagus,positif,positif
in update biar sub indo,positif,positif
parah bayar kabeh,negatif,negatif
jelek ngebet,negatif,negatif
gimana sih daftar susah banget pas udah hasil daptar terus cari anime favorit ku ga sub indo,negatif,negatif
ga lengkap,negatif,negatif
padahal udah tulis gmail sama pasword tetep gak,negatif,negatif
iklan banget banget lama banget,negatif,negatif
bagus,positif,positif
the best apk,positif,negatif
mantap,positif,positif
aplikasi gaje premium,negatif,negatif
mau nonton anime doang wajib premium kocak kocak,negatif,negatif
apa sih dah akun cobain gak mau masuk,negatif,negatif
aplikasi baik seru banget nontonnya,positif,positif
aplikasi sampah baru masuk web bisa saldo dana potong mana hasil keringat sendiri tu cari,negatif,negatif
udh pake imail bener sampe liat google beberapa kali gk login benerin,negatif,negatif
gk masuk,negatif,negatif
minus lama bgtt menginstal padahal kuota penuhh and sinyak buanyakk,positif,negatif
go worth it sih mending aplikasi belah inisial logo tv sini semua hampir semua anime premium,negatif,negatif
aplikasi ee,negatif,negatif
terlalu banyak iklan,negatif,negatif
aplikasi pelit,negatif,negatif
maksud coba gratis hari apa bayar hari pas awal gratis,negatif,negatif
nice app,positif,positif
gabisa masuk gob,negatif,negatif
mau login susah bet ajg ain fitur login sekali klik napa,negatif,negatif
in my opinion please add indonesian subtitlesmany animes do not have indonesian language this is my opinion thank you,positif,positif
mantap,positif,positif
thanks for the game crunchyroll happy,positif,positif
masuk susahhhhh,negatif,negatif
ngapasih tetep enggak login padahal katasandi udah bener loh nyebelin banget sih orang niat nonton anime malah enggak login,negatif,negatif
kurang bagus cuy,negatif,positif
no one punch man,positif,positif
gak yosuga no sora,positif,negatif
masalah subtitle kadang subtitle indonesia kadang gaaa banyak gaa ad sii,negatif,positif
kurang lengkap anime gk sub indo,negatif,negatif
banyak anime baru rilis populer jadi ga suka,negatif,negatif
apk bagus minus harga bulanya sedikit lebih mahal bstasion,positif,positif
sangat bagus,positif,positif
aplikasi bayar padahal anime udah tamat,negatif,negatif
ghae,positif,positif
overall this apk great but can you add quality setting in android tv cuz not everyone use wifi and celular data will ran out so fast,positif,positif
banyak premium ny,negatif,negatif
cant create account,negatif,positif
susah login jing padahal email ama kta sndi bener ttp ga masuk,negatif,negatif
good but not all have indonesian subtitles,positif,positif
please add indonesian subtitle so we can understand better,positif,positif
gimana cara login sih tol ribet amet pake akun google beda salah gimana,negatif,negatif
tdk pernah selesai,negatif,positif
vip,negatif,negatif
sering jadi freeze playback dah beli premium not worth,negatif,negatif
sub indonesia,negatif,positif
kasih sub indo,positif,negatif
tambahin subtitle indonesia semua film series klo sm dubbingnya,positif,positif
pelit kikir dasar kwontol mati kau mending aplikasi belah pelit banget jangan nonton sini nyesal asli jangan download anime gak komplit moga aplikasi bangkrut aminnnn,positif,negatif
alhamdulillah semua oke subtittlenya kadang gak muncul beberapa scene baik,positif,negatif
bagus banget cot buat nonton soal jd tampil bersih,positif,positif
coba kasih subtitle indonesia biar lebih banyak minat,negatif,positif
nice mantapp,positif,positif
rahisi login cokkk,negatif,negatif
please add more anime like in europe region,positif,positif
lumayan station,negatif,positif
jangan didownload terlalu banyak iklan iklanya detik semua ga skip,negatif,negatif
kikir mau nonton apa kocag klo semua premium lucu,negatif,negatif
mantap,positif,positif
episode one piece premium kurang episode chapternya,negatif,negatif
mohon tambah sub kategori film biar gampang kalau mau cari film crunchyroll,positif,positif
apa password,negatif,negatif
subtitle indonesia gak semua anime banyak iklan dikit sitonton bayar lebih bagus bilibili lengkap gak iklan,negatif,negatif
udah tulis email sandi kali kali invalid jadi,negatif,negatif
hoooo udah kasi bener salah mulu hoooo kalo mau buat aplikasi bener hoooo tolol kalo gak bikin aplikasi gak usah bikin,negatif,negatif
mau login doang banyak drama,negatif,negatif
aplikasi keren suka lebih bagus dri bstation sini akun premium lebih murah,positif,negatif
aplikasi tipu daftar pakai akun google pass akses hati yg mau download apk mau data,negatif,negatif
apk udah,negatif,negatif
apk stream burik,negatif,negatif
aplikasi taiii,negatif,negatif
apk premium jelek,negatif,negatif
boycott,negatif,positif
mau nonton premium semua konntttt,negatif,negatif
lebih bagus fitur bestation,negatif,positif
taik anjing inimah sama nonton iklan bukan nonton anime asu,negatif,negatif
no baki cmon,negatif,positif
aplikasi buruk,negatif,negatif
please add blue lock haikyu and others that are not there yet,positif,positif
anime ngak lengkap,negatif,negatif
halah scam kata premium gratis pret,negatif,negatif
ga alesan,positif,negatif
why is there only popular animes dawg and half of it is just premium,negatif,negatif
cc lot,negatif,negatif
cant even use the app,negatif,positif
ni login dah failed mulu,negatif,negatif
anime sinbad ga aada auto apus,negatif,negatif
nyedot kuota banyak bgt,positif,negatif
banyak subtitle telat,negatif,negatif
kikir,negatif,negatif
gk masuk sama sekali masuk kan akun kali kali tetap valid padahal benar loh udh buat,negatif,negatif
buruk,negatif,negatif
jangan download guys aplikasi langsung nyedot uang dana kamu uang sedot jir padahal kaga beli,negatif,negatif
apk parah nyedot kuota ga kira eps blom habis nyedot data gb lebih,negatif,negatif
download cuma buat nonton ghost stories dub english,positif,positif
najis premium,negatif,negatif
gausah instal,negatif,positif
bnyk btl iklan ny,negatif,negatif
gk nime yozakura family sih padahal view anime banyak masa gk aplikasi,negatif,negatif
buriq,negatif,negatif
iklannyaa ga ngotak ga usah download,negatif,negatif
info deskripsi sub indo video play malah ga kecewa subtitle ga sinkron gmn sih bikin aplikasi,negatif,negatif
banyak anime subtitle cc bahasa indonesia join premium pakai beberapa baru sadar semua anime sini takarir indonesia beberapa pilih anime lengkap overlord orb on the movement of the earth banyak yg alhasil ku batal langgan untung free trial jadi pungut biayatolong lengkap animenya buat semua takarir indonesia,negatif,positif
iklan kebnykan,negatif,negatif
iklan terlalu banyak kalo sekali iklan jangan banyak banget iklan banyak banget,positif,negatif
gimana sih daftar kan suruh login masukin email sama kata sandi pas udah dimasukin nyata salah padahal betul loh email sama kata sandi gak masuk yah jelas,negatif,negatif
terlalu sulit masuk dalam aplikadi,negatif,negatif
sorry jelek banget iklan ngeganggu banget masa satu kali iklan jenis iklan total durasi menit satu episode iklan lewat tiga kali total seluruh iklan jadi menit udah kayak nonton satu episode anime cepat skip open song sama close song baru nonton satu episode anime dah hapus aplikasi,negatif,negatif
kece,positif,positif
subtitle selalu delay sinkron cakap karakter bayar mahal beli premium sial,negatif,negatif
tulis nonton gratis malah lanjut premium,negatif,negatif
gak asik ach sub gak ind,negatif,negatif
ga bsa masuk meski email pasword masuk benar,negatif,negatif
bagus,positif,positif
arise,positif,positif
hei kalian buat aplikasi mau tanya judul anime tulis telusur cari anime judul kinos journey the beautiful world anime sebut muncul benarbenar sesuai bukan crunchyroll merupan aplikasi nonton anime baik sangat buruk anime anime sesuai telusur,negatif,negatif
rugi langgan harga langgan lebih mahal bstation animenya dikit subtitle indonesia dikit banget subtitle indonesia sering telat sama video animenya paling bikin emosi waktu episode anime baru rilis subtitle indonesia gk langsung nunggu lama minggu dulu baru subtitle indonesia platform gk kayak gin loh bahkan lebih recommended langgan netflix,negatif,negatif
apasih ga daftar anj,negatif,negatif
gk jeles ni apk,negatif,negatif
