bintang,komentar,label
1,jelekkk ga tokyo ghoul,negatif
5,aplikasi bagus anime lengkap kualitas bagus bayar bulan trgolong murah,positif
1,aplikasi bagus anime terlalu sedikit kurang sih,negatif
1,aplikasi sangat jelas,negatif
2,kirain gratis semua filem gak tau bayar eumm,negatif
1,hapus anime detective conan,negatif
2,aplikasi gak login padahal udah masuk imel udah benar aplikasi gak buka kata sandi imel betul eror aplikasi baik aplikasi,negatif
5,muas,positif
1,harap baik subtitle indonesia,negatif
1,anime ku tonton contoh anime tokyo ghoul server indonesia chek website ku tekan malah tulis check back soon kecewa karna langgan anime lengkap,negatif
1,banyak prem,negatif
4,lengkapin sub indonesia biar nyaman,positif
5,applikasi yg tarik baik tonton anime walopun bnyak iklan gpp nama jg free btw bukan wibu,positif
4,oke,positif
1,aplikasi nonton iklan,negatif
5,overall udah bagus sih kadang subtitle delay kaga pas ga tau subtitle salain bahasa indonesia,positif
2,srius ga semua anime sini harus anime jadul tetap,negatif
5,good,positif
1,ngga perna langgan uang tarik minta uang kembali,negatif
4,kasih bintang dulu anime lumayan lengkap yah enggak digimon tambahin digimon yah,positif
1,apk jelek pasu email sandi sanda kata valid padahal benar pasu kata masuk sandi lebih teliti developer sybau,negatif
1,gabisa masuk gob,negatif
5,keren,positif
1,soal serba premium jadi males,negatif
2,anime tdk lengkap subtitle telat ayo kata kelas crunchyyroll masa kalah sama apk biru belah,negatif
5,kece,positif
5,recommended buat ngerasa salah abis nonton anime masterpiece baja nonton frieren dulu baja terus ga enak rasa iseng langgan crunchyroll nyata worth it banget sekarang rewatch anime fav misal naruto tensura frieren solo leveling banyak anime populer ditayangin sini kalo ga punya uang pake,positif
2,benar bagus apk sayang satu bayar yg apk belah gak bayar,negatif
5,sangat bagus,positif
5,memang baik kau,positif
1,gk bisak masuk udah masukin gimana ko tetep gk bisak malah muncul info akun terus padahal udah bener semua gimana sampahhhhhh,negatif
1,gak rasa langgan aplikasi malah kena tagih dana langsung kurang uang,negatif
1,terlalu banyak premium banyak cuman episode yg premium premium bahkan anime yg semua episode premium banyak yg pakai aplikasi tonton gratis banyak anime jadi premium,negatif
2,maksud coba gratis hari apa bayar hari pas awal gratis,negatif
5,mantap,positif
1,iklan sejagad raya mana lama,negatif
5,new update support device core samsung mobile,positif
5,aplikasi sangat cocok orangorang tonton anime budget murah kualitas bagus,positif
1,udh capekcapek download malah gak masukpadahal kata sandi sama email bener udh coba kali kali tetap,negatif
1,burukk,negatif
5,the application is good,positif
4,defoloper crunchyroll lengkap filem yg udah utuk lengkap selesai contoh demon sleyer cmn hasira batu padah udah tamat filem,positif
1,ngga cocok,negatif
1,anjirr gq udah langgan nonton vidio premium jirr apk rusak,negatif
1,jangan download guys aplikasi langsung nyedot uang dana kamu uang sedot jir padahal kaga beli,negatif
1,woi balikin duit mau bayar online malah dh bayar sama ni apk,negatif
1,banyak video premium kecewa berat,negatif
1,lebih banyak nonton iklan wkwkk konyol,negatif
1,tahu cara premium jadi tonton anime blue lock season,negatif
1,baru download udah banyak iklan subtittle ngawur gak urut kan bahasa indonesia,negatif
5,bagus lengkap,positif
2,iklan panjang anjir durasi,negatif
5,iklan terlalu banyak kalo sekali iklan jangan banyak banget iklan banyak banget,positif
1,aplikasi sangat jelek,negatif
4,bagus kurang lengkap,positif
1,apk dahh udah download videonyaa hapus sendiri aneh,negatif
5,the best,positif
5,no indonesia subtitle so sad,positif
1,gimana sih padahal buat akun sandi bener salah aneh,negatif
1,langgan makin mahal sering crash servernya guna free iklan banyak banget periklanya detik niat buat santai mah malah nonton iklan,negatif
1,gk masuk sama sekali masuk kan akun kali kali tetap valid padahal benar loh udh buat,negatif
1,terlalu banyak iklan aplikasi rusak resin dulu iklan baru kasih bintang,negatif
1,gabisa daftar anyink,negatif
1,iklan gak ngotak,negatif
1,gk lengkap subtitle,negatif
1,kata gratis buat premium dulu,negatif
1,aplikasi gak pakek subtitel indonesia yg pakek subtitel inggris muluh,negatif
5,seru banget,positif
5,animenya banyak banyak iklan cukup maklum anime terus update cukup lengkap per seasonnya yah overall bagus mohon tingkat baik masalahmasalah bug aplikasi terimakasih edit terima kasih jawab tanya lop crunchyroll,positif
1,gk anime lycoris recoil njir,negatif
1,aplikasi tolol ajg banyak bug co jangan download,negatif
1,pel jangan download apk soal awal masuk minta akun google nah masalah masukin aku malah salah ubah sandi tempat salah,negatif
5,jujur pernah pake aplikasi bagus banget gak kurang animenya kurang lengkap tambahin anime lycoris recoil aplikasi soal mau maraton tuh anime gak crunchyroll padahal kata mbah google cari gak ketemu tambahin anime subtitle indonesia dubbing indonesia terimakasih,positif
2,benar bagus pas mau lihat season season premium punya uang premium harus semua premium misal mau nonton season season premium enak kalau orang duit kayak gimana kalau orang duit enak kalau orang gak duit kan enak balas,negatif
1,ga daftar email,negatif
1,terkadang kalau cari anime selalu sesuai apa cari bahkan animenya cukup kecewa cari website masuk crunchyroll selalu masalah sinyal buruk padahal sinyal ku sangat bagus baik tempat sangat kikir,negatif
1,balikin uang rp,negatif
5,aplikasi bagus animenya banyak semua subtitle bahasa indonesia contoh rentagirlfriend jadi banyakin anime subtitle bahasa indonesia sekian terimakasih,positif
1,apa apa hampir semua season episode premium semua tidak fitur premium hilang iklan tingkat resolusi video bukan arti episode season jadiin fitur premium,negatif
5,mantap,positif
1,ak download apk cuma mau liat aot doang soal apk gada sini lengkap malah premium anjir bgt,negatif
1,ngerekomendasiin no google pas download nyari anime nihil udh hapus aj afk rugi percaya,negatif
5,sangat bagus apk,positif
2,apa pas mau masukin email sama sandi kata valid terus sandi ama email udah benar gaje njir,negatif
5,mantap bangettttt,positif
1,apa pas login ga padahal udah bener cek sama samain akun google ttep gabisa,negatif
5,sangat bagus,positif
5,good,positif
1,sampah,negatif
4,bagus,positif
1,jelek,negatif
1,tonton gratis iklan lama iklan iklan sama detik jadi iklan yg durasi detik yg satu detik jadi total iklan semua detik sama menit detik lama anjir jaring lot gara iklan yg paksa pakai kualitasresolusi lebih tinggi jadi jaring mutar mulu iklan padahal pakai otomatis la malah paksa,negatif
1,aplikasi tolol inimah fiks banyak iklanya jangan didownload,negatif
5,good jobs,positif
1,terlalu banyak premium anime cari kagak kurang baguss,negatif
5,bagus,positif
4,good,positif
1,subtitle banyak bug,negatif
1,download karna mau liat liat anime populer tiba tiba ga lama kemudian transaksi otomatis ngebuat duit ilang stempel langgan maaf yaaa aplikasi rusak emng paksa,negatif
1,aplikasi kikir iklan sama suka loading ga jelas,negatif
2,anime cari ad,negatif
1,jadi premium cuma nonton anime mending nonton web gratis,negatif
1,seru beli vip yg gratis,negatif
1,lebih banyak durasi iklan episode bngsd,negatif
5,good,positif
5,lumayan bagus,positif
1,gabisa login gmn padahal sandi bener email bener umur lebih,negatif
1,animenya minim bayar banyak iklan puas banget jadi buat nonton,negatif
4,masuk susah bnget anjir,positif
4,bguss bgttt tpi jangan banyak premium ny buat demon slayer thx,positif
2,subtitle bahasa indonesia kek telat gitu,negatif
5,assalamualaikum wrwb apknya sih udah bagus anime movie tambahin bahasa kayak bahasa indonesia ama kasih filtur nonton tv seru ohya gitu masuk dapat terimakasih assalamualaikum wrwb,positif
2,banyak anime takarir indonesia mungkin segera tambah takarir indonesia anime yg takarir indonesia,negatif
4,bagus udah sip,positif
1,jelek masa bayar,negatif
1,buat akun padahal sandi udh bener,negatif
1,jelek,negatif
1,apk ap nonton primium jelek bangettt banyak ikllan haahh gak ku kasih bintang kalau mau nonton primium dlu bayar anjir,negatif
1,apa coba aplikasi masa ga screenshot aneh padahal katakata bagus anime screenshot ga hasil malah hitam kosong kalau alas lindung hak cipta doang blokir bagi rekam layar kocak masa iya screenshot doang blokir kocak,negatif
5,terimakasih buat aplikasi sangat rasa senang karna tonton anime gak aplikasi,positif
1,baru download langsung suruh langgan bayar skip nyata anime banyak buat yg bayar alias buat yg premium yg gratis ga nonton skip dah,negatif
5,this app is goated,positif
1,gimana mau login gabisa sandi email udah bener gabisa login bantu,negatif
1,bayar padahal ganti kasih iklan,negatif
1,aplikasi blokkk hewan ajg,negatif
4,aplikasi bagus sedikit masalah animenya lengkap,positif
1,udah hapus tiba nyedot uang gmn coba,negatif
1,iklane rak ngutek sama sama guna gratis mending station,negatif
1,jangan instal aplikasi laku tagih tipu,negatif
4,baik,positif
5,bagus,positif
1,aplikasi ampas,negatif
5,semua bagus one piece subtitle bahasa indonesia,positif
1,perna tonton beberapa anime nah tonton anime sama tibatiba jadi premium kalau begini mending nonton anime suka premium apk bestation banyak event peremium gratis spin dapat hadiah premium gratis hari mantap pokok jadi apk hapus terlalu banyak premium,negatif
1,suruh langgan mahal,negatif
5,bagus audio tambah indo,positif
1,banyak iklan gerammmmmmmm,negatif
1,busuk,negatif
1,gila aplikasi mau nonton suguh iklan detik baru nonton episode iklan ulang episode auto hapus enak aplikasi belah iklan awal episode ikut gak iklanya,negatif
4,banyak anime,positif
5,mantap,positif
1,gak login,negatif
1,banyak iklan apk episode udh iklan,negatif
2,kurang update anime sama kalau premium gagal terus padahal baru bulan udah gagal duit gak hadeh sering sering update dah,negatif
5,mantap jaya kualitas superhero ganti avatar nama bahkan jadi gojo,positif
1,ga lengkap,negatif
1,masuk apk suruh masuk akun gak padahal verifikasi benar gak masukmohon benar,negatif
4,subtitle sering ngebug,positif
1,apa premium,negatif
4,rada macet padahal kualitas video udah kecil tetap sama,positif
1,gimana cara login coba login engga kata nama akun password sama padahal cek kali kali tetap dibenerin,negatif
1,worst awards,negatif
4,gambar bagus fidio lancar cuma banyak iklan,positif
5,banyak animenya biar lengkap aplikasi bagus legal beli anggota premium lengkap banget,positif
1,iklan,negatif
1,woi jangan banyak iklan blok,negatif
2,takarir indonesian lambat kata selesai subtitle telat sedikit ganggu beberapa serial takarir indonesian telat beberapa simulcast takarir indonesia episode baru mohon baik,negatif
5,suka banget walaupun banyak iklan,positif
1,jual tayang anime apa tukang iklan wkk iklan ga karuan sampah skrng crunchyroll aowkwk,negatif
5,amazingg,positif
1,apk uras duit lebih baik jangan download,negatif
1,apk gj bikin akun salah mulu,negatif
1,apk jelek masa tiba tiba kadi tagih henti rugi org lainapk jelekcacat,negatif
5,mohon developer animenya jangan banyak region lock terus semua anime subtitle indonesia biar gk susah otak translatein subtitlenya,positif
5,bagus banget,positif
5,kasi bintang biar muncul pribadi apk kikir premium,positif
5,kurang iklan kak,positif
5,baguss promo,positif
1,udh beli langgan gk lihat yg piv aneh memang apk,negatif
1,maaf gak jadi langgan kecewa,negatif
1,banyak premium dikit bayar dikit iklan gak jelas mending apk wibuku anime lengkap no premium pulak paling premium bulan iklan kualitas video hd gak kaya apk oren malak kedok apk anime,negatif
5,sangat bagus,positif
1,banyak iklan,negatif
5,tak ber kata kata,positif
1,ga lengkap,negatif
1,langgan gratis habis uang dana tarik langsung notif,negatif
5,moga hibur,positif
5,aplikasi bagus,positif
1,kata ga bayar ko byar premium,negatif
1,terlalu banyak iklan,negatif
5,baru apk keren,positif
1,apk ga bagus,negatif
2,bayar mahalgk buka hrus langanan mulugk kya app tetangga sblahyg gk rakus duitlol,negatif
2,aplikasih apa mau ninton bayar dulu sih sangka aplikasih youtub nonton gratis nyata bayar dulu wajib kan guna jadi premium dulu baik semua nonton udh keluar paket wefi masak mau bayar,negatif
5,bagis pertama pusing karna email ku tolak terus,positif
1,kurang lengkap,negatif
5,untung gak bayar cuman iklan yg lumayan banyak tetep bagus,positif
4,lumayan,positif
1,suka sekali aplikasi padahal masuk email sandi tetap tak masuk heran akhir hapus,negatif
2,banyak premium gratis dikit doang kikir dev,negatif
2,ko anime naruto ga,negatif
1,one piece ga apus udah bayar apus,negatif
1,tagih terus,negatif
5,kerenn banget jirrrr,positif
1,baru dowload login gagal mulu jgn unduh gess,negatif
2,terlalu banyak iklan,negatif
2,cipta melusuri anime lama bangen kasi anime lama sini ada anime baru doang gak lengkap kalok cari gada nana anime kasi kartun anime lama biar semua tahu kalok cari anime lama gu bahas moga baca,negatif
5,bgus,positif
1,aplikasi terus error pdhl sdh coba guna paket data wifi tdk yg hasil devloper segera ambil tindak capek masalah error simpan baik tp aplikasi yg masalah,negatif
2,anime dikit lawas lawas cuma dikit enak tonton,negatif
1,jangan download apkny nonton suruh bayar baru,negatif
1,bintang soal buka aplikasi gada gambar sama sekali,negatif
1,gak jelas,negatif
4,anime lengkap vidionya hd yg jadi masalah kalau premium anime yg carikita tonton muncultidak tonton mohon banyak in animenya yg premiumatau buat nonton lihat iklan dulu sebagainyaitu saran moga sesuai terimakasih,positif
1,iklany gk ngotak banyak bngt sampe trs lg,negatif
1,ngapain pake aplikasi buruk banget,negatif
1,jangan download aplikasi langgan baru bisaa nonton,negatif
1,takarir benerin,negatif
5,gacor,positif
4,one pice episod mana bang masa langsung episod,positif
4,banyak tingkat kurang translate bahasa indonesia,positif
5,gg ni aplikasi,positif
4,gak anime overlord kahh,positif
5,kualitas bos terlalu op,positif
4,tambah kolom komentar bstation,positif
1,uda bayar premium tpi gada subtitelnya,negatif
5,lumayan langgan jg murah klo gratis iklan banyak kalau sampe iklan,positif
5,excellent,positif
5,bagus tahan,positif
2,nyesel langgan aplikasi subtitle sama dubing ga sinkron subtitle tinggal,negatif
4,uiux kurang modern cendrung sederhana lebih baik buat lebih modern interaktif,positif
5,langgan premium worth it banget ambil super fans beneran worth it gaada iklan download offline,positif
5,tunggu duit mimin mau beli premium,positif
1,apk kikir,negatif
1,aplk anying gk bikin akun setab,negatif
4,you should give resolutionoption for the tv app that will be very helpful because if we depend on the internet connection the quality of the video will surely low because most of people dont use cellular data these days especially when they are at home,positif
5,baik beberapa masalah streaming one piece lalu dapat notifikasi aplikasi dana tokopedia selalu putus alami ganggu internet padahal kalau main game streaming aplikasi gak masalah putus koneksi,positif
1,langgan subtitle tepat subtitle terlalu lambat sampe detik jarak subtitle dialog,negatif
1,nggk lengkap,negatif
1,buat akun selalu padahal email benar entah mohon baik,negatif
4,sangat bagus jdi betah padahal baru download sih hehe masalah utama bagi iklan bug subtitle muncul jadi tekan atur buat muncul subtitle,positif
1,gimana cara masuk coba udah masuk nama terus akun terus udah kata sandi tetep ga gimana iniiii,negatif
1,solo leveling overrated,negatif
4,kasi subtitle indo tau apa yg bicara yakin kalo subtitle indo apk rame,positif
5,gg keren,positif
1,jangan didownload terlalu banyak iklan iklanya detik semua ga skip,negatif
1,ta login la,negatif
5,apk bagus minus harga bulanya sedikit lebih mahal bstasion,positif
5,mantap,positif
4,gadak bl ga seru,positif
1,apknya jelek minta bayar langsung uninstall,negatif
1,apk cacat,negatif
5,mantap iklan ngeselin,positif
5,aplikasi bagus banyak anime bagus baru bikin mood turun guna aplikasi iklan tengah nonton enak nonton tiba iklan muncul mana iklan lama banyak jadi buat developer mohon iklan jangan taro tengah nonton mood jadi turun iklan lama banget,positif
5,sangat bagus sya suka,positif
1,nyari anime susah yg cari apa muncul apa mending apk dah sampah bener crunchyroll,negatif
1,gosah iklan hp ganggu bae,negatif
1,personal sama ni aplikasi gegara ga sengaja langgan duit ga dibalikin mana ga confirm dulu langsung narik wallet,negatif
4,lumayan bagus,positif
1,terlalu banyak iklan,negatif
5,mantap,positif
1,rahisi login cokkk,negatif
1,nyoba download anime gk lengkap berak,negatif
5,hah kromohitsho shuneh,positif
1,apk sampah,negatif
1,kirainn donghua awokwok ga jadi meski kasih prem gratis kayak ga mampu beli uninstall,negatif
5,aplikasi bagus sedia banyak anime moga netflix banyak anime film bagus yg malah hapus moga crunchyroll tahan anime,positif
1,mw buat akun suruh pake email gak masuk padahal email udh bener mohon jelas,negatif
1,bayar jir padahal uji coba gratis malah pas download suruh bayar,negatif
5,wow amazing,positif
1,apa keras bat makan paket baru beli gb udh sisa gb anjir padahal tiga hari beli,negatif
5,lihat blue lock,positif
5,keren,positif
1,tagih mulu udah tau gak pakai bayar langgan mang ngeselin,negatif
1,dasar apk gak jelas,negatif
2,terlalu banyak iklan,negatif
5,keren,positif
5,bagus tonton pakai bahasa indonesia cuman anime kurang lengkap mohon lengkap,positif
1,ga masuk padahal sandi udah bener udah coba berkalikali tetep ga,negatif
5,mantab,positif
1,tau kalo mau nonton premium langsung hapus,negatif
1,semua bayar,negatif
5,mantap,positif
5,lumayan tingkat terus,positif
4,bagus kadang subtitle indonya sedia beberapa episode meski pake sub english tetep paling nyaman sub indo,positif
2,cc bahasa indonesia jadu kurang paham teks,negatif
1,banyak sekali iklan mohon hapud iklan minimal iklan skip nonton iklan detik gak skil mohon masalah iklan nyaman tonton,negatif
1,apasih ga daftar anj,negatif
5,bagus data kuras banget,positif
5,gratis tonton,positif
2,iklan ramah,negatif
4,keren,positif
1,klw login gak pake akun aplikasi,negatif
1,asuu ini bukan apk nonton anime nonton iklan anime terus episode bagus selalu premium banyak iklan minta bayar premium gimana sih mending kayak apk belah animeindo lebih bagus iklan sedikit tapi sekarang adaa play store,negatif
1,banyak kali premium auto unistal,negatif
2,gak semua anime sub indonesia,negatif
1,apk nonton anime paling ga lengkap yg pernah kelas anime big loh ga lengkap bleach ga movie anime jg mending nonton baja,negatif
1,kecewa sih soal tadi pas liat iklan audio semua bahasa pas udah download malah audio cuma jepang inggris thailand,negatif
1,udah masukin sandi imel bener malah gk apk jelek,negatif
5,,positif
1,ken nonton one piece eps premium semua,negatif
5,baguss premium jangan kasih anime soal ganggu enak enak nonton anime pas mau ganti episode premium,positif
1,nguras kuota besar,negatif
1,gak login padahal dah bener kasih bintang ajs,negatif
2,dub indo cuma doang,negatif
1,iklan teross,negatif
4,oke,positif
5,aplikasi udah bagus banget cuma nonton iklan nonton anime bagus bagus kurang lengkap anime tunggu update,positif
5,seruu banget,positif
1,susah buat masuk app ngedaftar susah baik njiengg,negatif
5,keren,positif
5,bagus,positif
5,gaada sub indo mah lancar inggris makanya ajar bahasa inggris wak gaada rugi,positif
4,halo kak mendownload aplikasi crunchyroll kakak aplikasi bagus dubbing indo satu jadi masalah animenya kurang lengkap sedikit error contoh cari anime web tambah nama aplikasi crunchyroll link masuk gak tulis konten sedia tambah pulih anime kurang hapus kak masuk sekian,positif
1,banyak iklan youtube,negatif
2,gimana cara nontonya pas clik animenya premium dulu bah kek mana,negatif
1,title telat ga asik padahal udah lapor masalah,negatif
1,anime cari padahal belum gak mungkin kalo hapus ama crunchyroll soal anime rame mohon bantu,negatif
5,kasih bintang atas komen sih gk rekomendasi apk premium dlu baru nonton gk jelas kataya gratis bayar,positif
1,apk apa apa premium,negatif
5,bagus,positif
5,bagussssss minnusnya iklan banyak,positif
5,aplikasi sangat bagus jarang iklan makin suka sama aplikasi guna nonton anime,positif
1,apk ga jelas afk sampah jual,negatif
1,aplikasi tipu daftar pakai akun google pass akses hati yg mau download apk mau data,negatif
1,ribet,negatif
1,the indonesian subtitles are not updated and some arent even available in the indonesian region this app is joke,negatif
5,keren,positif
5,bagus,positif
1,udah bener masukin kode mas login,negatif
1,gimana sih nonton solo leveling sampe malah pake premium adehh,negatif
1,gk langgan cm iklan sih gk masalah cm iklan malah stuck jadi gk tonton mau cm liat iklan doang kalo paksa beli langgan jangan paksa gk kasih tonton jemt,negatif
5,admin anime naruto shippuden kasih subtitle indonesia orang indonesia tonton,positif
1,woy ngent apk ngent balikin pulsa sedot,negatif
2,sebenernya aplikasi bagus premium kalau gratis banyak iklan tengah video,negatif
1,jelek,negatif
4,baru mau nonton udah kali iklan lewt,positif
4,legal apa ilegal,positif
4,banyakin subtitle indonesia,positif
1,login padahal email sandi benar,negatif
2,takarir bahasa indonesia batas kurang asik nonton,negatif
5,ngotak dikit ngasih iklan masa iklan durasi iklan detik,positif
1,apaapaan nihh aplikasi masa semua bikin premium mana series narutonya gak lengkap pake premium segalapokoknya jangan didownload dahh biar gak nyesel,negatif
4,its great but the hud is very catchy and bright also there arent any options to videos watch speed,positif
1,vidio iklan padahal cuman ken ngeskip menit langsung iklan gila gg sih aplikasi nonton aplikasi kek nonton iklan bukan anime njr,negatif
1,aplikasi jelek ribet,negatif
1,alpikasi bayar ga usah donwload cuma isa nonton anime doang donghua ngak,negatif
5,tambah seri anime jaman dulu jangan anime baru baru doang contoh anime lawas inuyasha bakugan beyblade crush gear,positif
1,sampahh delay terus premium udah pake wifi udah resolusi gede nge lag teruss percuma tulis hd ttep ae buriq,negatif
5,mantap,positif
1,absolut iklan,negatif
5,mantap,positif
4,banyak patah pas nnton bukan buffering video padahal jaring wifi aman,positif
1,jelek parahhh banyak bug,negatif
1,baru download apk pas mau nonton pertama kali film mulai iklan xdurasi detik semua gabisa skip film baru jalan kurang menit muncul iklan xdetik semua gabisa skip kapok mending apk belah kalo gin mah,negatif
5,buat dubbing subtitle indonesiakarena banyak tonton indonesia,positif
1,iklan numpuk banget anj sampe lebih iklan video,negatif
4,jalan baik hnya biasa cc lebih lambat sedikit sinyal stabil,positif
4,bagus sih bagus cuman rare banget sub indo apa dub indo kayak mikir pasar asia tenggara gak bikin untung gede moga sadar rilis playstore indo arti kudu sub indo jangan malah nyombongin punya banyak lisensi anime percuma kalau subtitle sama dub gak lengkap,positif
5,mantap,positif
5,mntapp,positif
1,apk ga ngotak,negatif
2,ga lengkap woiiga ad link click cells at work dkk gimane ni tlong baik,negatif
5,ingat ga ad anime genre bagus lek,positif
5,baik sih lengkap gak kaya belah,positif
5,bagus,positif
1,ni aplikasi cocok sih buat gak ken nonton anime ilegal minimal ngasih iklan ngotak dikit napa masa udah iklan awal nonton baru jalan menit iklan udah gitu terus terus iklan muncul pantes banyak nonton anime aplikasi belah aplikasi iklan gak ngotak minimal iklan dibatasin yakali tonton utama iklan mulu dikit dikit iklan,negatif
1,terlalu banyak iklan,negatif
4,gak yosuga no sora,positif
5,udah mantap tinggal subtitle indonesia biar ga bingung,positif
1,kalau ngasi subtitle bener dikit napa subtitle campur campur ama episode,negatif
1,know you won but there are too many ads try to at least put the fish at the end or beginning of the video otherwise it will drain peoples internet sorry gave it star its better,negatif
5,bagus banget appnya,positif
4,aplikasinyasih bagus banyak video anime tonton ngak anime gate jieitai kanochi nite kaku tatakaeri,positif
1,apk dongo apus episode dikit sok sok an minta prem baik dulu tuh apk baru minta prem preman,negatif
2,gak lengkap anime,negatif
5,gila nonton anime mudah,positif
1,beberapa film anime yg gaada sub indo padahal udh bayar premium ga punya sub indo kecewa bgt,negatif
5,nice mantapp,positif
4,sedia fitur chat post border avatar khusus komentar lebih baik,positif
1,dub gak sesuai gitu brok rugi bayar apk ampas gin,negatif
4,apk legal,positif
1,gak sub indo terus premium gak dibatalin jadi nyesel udah premium mana lumayan harga buat beli sayang banget kalo kayak gin banyak enggak lengkap,negatif
5,lumayan,positif
5,tv sangat bagus,positif
5,bagus,positif
1,henti langgan mnta hapus aplikasi,negatif
1,uang ribu hilang potong aplikasi padahal download sama sekali,negatif
1,kurang iklan,negatif
1,banyak iklan kikir lewat senjang vip gratis rasa bngt,negatif
2,sub yg beranta segera baik,negatif
1,ga buka udh nunggu lama pdhl,negatif
1,sangat buruk jangan dowload tinggal pakee bstation,negatif
4,banyak iklan emang banyak iklan rana ga permiumtapi emang banyak iklan,positif
5,kasih sub indo,positif
5,gg aplikasi wibu,positif
5,keren banget aplikasi anime baru selalu update terima kasih,positif
1,murah pelit negara anime kurang lengkap wajib pake vpn kalo pake vpn malah banned,negatif
1,subtitle ngebug baik,negatif
1,banyak premium alahh mending nonton anime belah woe,negatif
2,keren,negatif
5,bgus,positif
1,ga jelas ga bikin akun,negatif
4,bagus,positif
1,apk taaiiikk gak login,negatif
1,duit isi sini rb padahal gak download kembali,negatif
1,masa dana kepake tiba tiba langgan ni apk parah bgt bayar otomatis skrg minta kembali butuh hari buang buang waktu jelek banget ni aplikasi minimal jangan otomatis baya langgan tuju dulu,negatif
1,buat akun,negatif
1,one piece ga lengkap,negatif
5,sangat keren,positif
1,aplikasi bagus cuman pilih anime sub indonesia sangat sedikit jadi buat langgan vip awal tarik buat langgan vip karna pilih animenya sangat banyak nyata pilih sub indonesia sangat sedikit itu ada anime lama anime baru pilih sub indonesia buat semua anime kasi sub indonesia,negatif
1,jelek premium mulu tidak kalau iklan jgn terlalu banyak ga banyak penguna kalau gin apk premium mah hapus ga,negatif
1,kagak yg gerat,negatif
1,gak masuk akun ku gak guna,negatif
1,masa ngak pokemon,negatif
1,gausa download premium semua sama gk lengkap poke,negatif
1,gabisa download,negatif
5,bagus,positif
1,aplikasi gak jelas langgan duit langsung sedot bukan apa apa,negatif
2,takarir benerin woiilahh pas upload gak cek apa gimana dah,negatif
1,iklan bener bener banyak banget ga bikin iklan jangan sampe kali cukup satu gapapa iklan kali asal cuma iklan jangan sampe jadi kasi nonton gratis kalo kasih ringan dikit buat gratis sama subtitle beberapa anime ga bahasa indonesia jadi cuma ngerti bahasa indonesia cuma plenga plengo harap aplikasi baik,negatif
1,petbaiki masalah subtitle delay percuma langgan kalau kayak gin truss,negatif
1,apabila kalian guna gratis jangan guna aplikasi iklan banyak minta ampun habis iklan subtitle jeda dulu,negatif
1,gk buat akun masuk langsung,negatif
5,bagus gak iklan rangin,positif
1,trima kasi atas aplikasi buat jadi lebih gampang cari flm suka syah trima kasi atas aplikasi,negatif
5,sangat menakjupkan,positif
5,nice,positif
5,aplikasi bagus seru,positif
5,walaupun gra tis banyak iklan seru desa unik,positif
1,aplikasi gak jelas udah dimasukin sandi benar tetep salah kata ubah aplikasi sama,negatif
1,jangan main potong saldo dana potong,negatif
1,terlalu banyak mode premium bayar iklan gudang tambah kurang update,negatif
5,free minggu horee,positif
4,aplikasi kalo nonton kartun keren sih,positif
5,,positif
5,bags aplikasi streaming anime film,positif
1,apk parah nyedot kuota ga kira eps blom habis nyedot data gb lebih,negatif
5,akhir lengkap koleksi animenya region indonesia langsung subscribe,positif
1,jangan mau bodohin teman teman aplikasi bayar kalau mau aplikasi gk bar tanyak ama cmiwww,negatif
5,bagus,positif
1,gajelas gabisa ganti usia,negatif
1,terlalu banyak iklan video banyak anime subtitle indonesia,negatif
5,bagus,positif
1,omong kosong apa bayar,negatif
2,ampun anime banyak premium memang harga murah malas beli,negatif
1,anj buat akun gabisa,negatif
5,baguss,positif
1,hampir semua anime butuh premium,negatif
5,bagus,positif
5,wow,positif
1,is iklanya diemin enak bngt geber terus iklan mana stiap ganti dtk iklan,negatif
1,aplikasi apa kalok naruh iklan ngotak dikit jangan iklan semua detik mana ngelag wifi kenceng kalau iklan ngelag padahal buat nonton anim lancar jaya iklan tu detik mentok biar ga lama lagganan premium uda banyak tuh saing uda tinggal jauh aplikasi uda dunia terus masang iklan banyak kurang duit kalian,negatif
4,mau nonton kaguya sama love is war malah gda,positif
1,nonton udh suruh beli premium haduh sangat kecewa,negatif
1,apk nonton anime sangat buruk daftar anime lengkap tambah bayar bayar lengkap tahu malu,negatif
2,bom nonton kwwk,negatif
1,film iklan mohon kurang iklan tengah muncul mulu kadang kadang mohon kurang,negatif
1,gimana cuma anime solo leveling subtitle indonesia delay tpi anime ga delay kanapa delay android tv hp kalo ga solusi mungkin ga jadi langgan apk,negatif
1,iklan ros,negatif
1,loco aplikasi loco,negatif
4,yaa wajar iklan bnyak nonton gratis ga bayar makanya pasang iklan bnyak,positif
1,iklannyaa ga ngotak ga usah download,negatif
1,sedia subtitle bahasa indonesia audio indonesia,negatif
